,0
0,Oklahoma
1,Iowa
2,Indiana
3,Missouri
4,Utah
5,Vermont
6,Maryland
7,Wisconsin
8,Louisiana
9,Wyoming
10,New Mexico
11,Nevada
12,Colorado
13,Connecticut
14,New Jersey
15,North Dakota
16,Pennsylvania
17,Kentucky
18,Alabama
19,Georgia
20,Tennessee
21,Virginia
22,Arizona
23,North Carolina
24,Rhode Island
25,Kansas
26,South Dakota
27,Massachusetts
28,Idaho
29,Oregon
30,Washington
31,Illinois
32,Mississippi
33,Alaska
34,Hawaii
35,South Carolina
36,Nebraska
37,California
38,Arkansas
39,New York
40,Montana
41,New Hampshire
42,Minnesota
43,Florida
44,Michigan
45,West Virginia
46,Delaware
